"Cod_IBGE","Grande região","Município","Mun_Total de casos","Mun_Total de óbitos"
"3546207","Interior","Santa Cruz da Conceição","1274","15"
"3546256","Interior","Santa Cruz da Esperança","199","4"
"3546306","Interior","Santa Cruz das Palmeiras","4713","129"
"3546405","Interior","Santa Cruz do Rio Pardo","7390","188"
"3546504","Interior","Santa Ernestina","549","19"
"3546603","Interior","Santa Fé do Sul","6857","138"
"3546702","Interior","Santa Gertrudes","3902","80"
"3546900","Interior","Santa Lúcia","727","24"
"3547007","Interior","Santa Maria da Serra","876","10"
"3547106","Interior","Santa Mercedes","470","11"
"3547205","Interior","Santana da Ponte Pensa","304","4"
"3547403","Interior","Santa Rita d'Oeste","425","12"
"3547502","Interior","Santa Rita do Passa Quatro","1790","45"
"3547601","Interior","Santa Rosa de Viterbo","2466","48"
"3547650","Interior","Santa Salete","357","7"
"3547700","Interior","Santo Anastácio","2207","69"
"3547908","Interior","Santo Antônio da Alegria","532","21"
"3548005","Interior","Santo Antônio de Posse","3962","57"
"3548054","Interior","Santo Antônio do Aracanguá","642","38"
"3548104","Interior","Santo Antônio do Jardim","980","23"
"3548203","Interior","Santo Antônio do Pinhal","1248","9"
"3548302","Interior","Santo Expedito","204","8"
"3548401","Interior","Santópolis do Aguapeí","747","18"
"3548500","Interior","Santos","65539","2401"
"3548609","Interior","São Bento do Sapucaí","811","14"
"3548906","Interior","São Carlos","29483","569"
"3549003","Interior","São Francisco","327","14"
"3549102","Interior","São João da Boa Vista","13138","352"
"3549201","Interior","São João das Duas Pontes","303","10"
"3549250","Interior","São João de Iracema","203","7"
"3549300","Interior","São João do Pau d'Alho","201","2"
"3549409","Interior","São Joaquim da Barra","6566","174"
"3549508","Interior","São José da Bela Vista","327","19"
"3549607","Interior","São José do Barreiro","308","4"
"3549706","Interior","São José do Rio Pardo","5026","164"
"3549805","Interior","São José do Rio Preto","112324","2983"
"3549904","Interior","São José dos Campos","104498","2145"
"3550001","Interior","São Luiz do Paraitinga","953","31"
"3550100","Interior","São Manuel","6235","160"
"3550209","Interior","São Miguel Arcanjo","2617","79"
"3550308","Capital","São Paulo","1027916","41061"
"3550407","Interior","São Pedro","7518","107"
"3550506","Interior","São Pedro do Turvo","1001","14"
"3550605","Interior","São Roque","7090","121"
"3550704","Interior","São Sebastião","8362","185"
"3550803","Interior","São Sebastião da Grama","1982","37"
"3550902","Interior","São Simão","1317","38"
"3551009","Interior","São Vicente","20532","1374"
"3551108","Interior","Sarapuí","518","7"
"3551207","Interior","Sarutaiá","138","19"
"3551306","Interior","Sebastianópolis do Sul","304","8"
"3551405","Interior","Serra Azul","1385","18"
"3551504","Interior","Serrana","6509","119"
"3551603","Interior","Serra Negra","4636","78"
